threshold,precision,recall,f1,tp,fp,tn,fn
0.4950901803607215,0.3191489361702128,0.5357142857142857,0.4,30,64,3066,26
0.4960721442885772,0.32608695652173914,0.5357142857142857,0.40540540540540543,30,62,3068,26
0.4970541082164329,0.32967032967032966,0.5357142857142857,0.40816326530612246,30,61,3069,26
0.49803607214428863,0.32967032967032966,0.5357142857142857,0.40816326530612246,30,61,3069,26
0.49901803607214434,0.32967032967032966,0.5357142857142857,0.40816326530612246,30,61,3069,26
0.5,0.33707865168539325,0.5357142857142857,0.41379310344827586,30,59,3071,26
0.5009819639278558,0.33707865168539325,0.5357142857142857,0.41379310344827586,30,59,3071,26
0.5019639278557114,0.33707865168539325,0.5357142857142857,0.41379310344827586,30,59,3071,26
0.5029458917835672,0.33707865168539325,0.5357142857142857,0.41379310344827586,30,59,3071,26
0.5039278557114228,0.3448275862068966,0.5357142857142857,0.4195804195804196,30,57,3073,26
0.5049098196392786,0.3448275862068966,0.5357142857142857,0.4195804195804196,30,57,3073,26
0.5058917835671343,0.3448275862068966,0.5357142857142857,0.4195804195804196,30,57,3073,26
0.50687374749499,0.3411764705882353,0.5178571428571429,0.41134751773049644,29,56,3074,27
0.5078557114228457,0.34523809523809523,0.5178571428571429,0.4142857142857143,29,55,3075,27
0.5088376753507015,0.34523809523809523,0.5178571428571429,0.4142857142857143,29,55,3075,27
0.5098196392785571,0.34523809523809523,0.5178571428571429,0.4142857142857143,29,55,3075,27
0.5108016032064129,0.34523809523809523,0.5178571428571429,0.4142857142857143,29,55,3075,27
0.5117835671342685,0.3493975903614458,0.5178571428571429,0.4172661870503597,29,54,3076,27
0.5127655310621243,0.3493975903614458,0.5178571428571429,0.4172661870503597,29,54,3076,27
0.5137474949899801,0.35365853658536583,0.5178571428571429,0.42028985507246375,29,53,3077,27
0.5147294589178357,0.35365853658536583,0.5178571428571429,0.42028985507246375,29,53,3077,27
0.5157114228456915,0.35365853658536583,0.5178571428571429,0.42028985507246375,29,53,3077,27
0.5166933867735471,0.345679012345679,0.5,0.40875912408759124,28,53,3077,28
0.5176753507014029,0.34177215189873417,0.48214285714285715,0.4,27,52,3078,29
0.5186573146292586,0.34615384615384615,0.48214285714285715,0.40298507462686567,27,51,3079,29
0.5196392785571143,0.34615384615384615,0.48214285714285715,0.40298507462686567,27,51,3079,29
0.52062124248497,0.34615384615384615,0.48214285714285715,0.40298507462686567,27,51,3079,29
0.5216032064128258,0.34615384615384615,0.48214285714285715,0.40298507462686567,27,51,3079,29
0.5225851703406814,0.34615384615384615,0.48214285714285715,0.40298507462686567,27,51,3079,29
0.5235671342685372,0.34615384615384615,0.48214285714285715,0.40298507462686567,27,51,3079,29
0.5245490981963928,0.34615384615384615,0.48214285714285715,0.40298507462686567,27,51,3079,29
0.5255310621242486,0.35064935064935066,0.48214285714285715,0.40601503759398494,27,50,3080,29
0.5265130260521043,0.35064935064935066,0.48214285714285715,0.40601503759398494,27,50,3080,29
0.52749498997996,0.35064935064935066,0.48214285714285715,0.40601503759398494,27,50,3080,29
0.5284769539078157,0.35064935064935066,0.48214285714285715,0.40601503759398494,27,50,3080,29
0.5294589178356714,0.34210526315789475,0.4642857142857143,0.3939393939393939,26,50,3080,30
0.5304408817635271,0.34210526315789475,0.4642857142857143,0.3939393939393939,26,50,3080,30
0.5314228456913829,0.34210526315789475,0.4642857142857143,0.3939393939393939,26,50,3080,30
0.5324048096192385,0.34210526315789475,0.4642857142857143,0.3939393939393939,26,50,3080,30
0.5333867735470943,0.34210526315789475,0.4642857142857143,0.3939393939393939,26,50,3080,30
0.53436873747495,0.34210526315789475,0.4642857142857143,0.3939393939393939,26,50,3080,30
0.5353507014028057,0.3466666666666667,0.4642857142857143,0.3969465648854962,26,49,3081,30
0.5363326653306614,0.3466666666666667,0.4642857142857143,0.3969465648854962,26,49,3081,30
0.5373146292585171,0.3466666666666667,0.4642857142857143,0.3969465648854962,26,49,3081,30
0.5382965931863728,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5392785571142286,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5402605210420842,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.54124248496994,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5422244488977956,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5432064128256514,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5441883767535071,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5451703406813628,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5461523046092185,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5471342685370743,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5481162324649299,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5490981963927857,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5500801603206413,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5510621242484971,0.35135135135135137,0.4642857142857143,0.4,26,48,3082,30
0.5520440881763528,0.3561643835616438,0.4642857142857143,0.40310077519379844,26,47,3083,30
0.5530260521042085,0.3561643835616438,0.4642857142857143,0.40310077519379844,26,47,3083,30
0.5540080160320642,0.3561643835616438,0.4642857142857143,0.40310077519379844,26,47,3083,30
0.5549899799599199,0.3561643835616438,0.4642857142857143,0.40310077519379844,26,47,3083,30
0.5559719438877756,0.3561643835616438,0.4642857142857143,0.40310077519379844,26,47,3083,30
0.5569539078156314,0.3561643835616438,0.4642857142857143,0.40310077519379844,26,47,3083,30
0.557935871743487,0.3611111111111111,0.4642857142857143,0.40625,26,46,3084,30
0.5589178356713428,0.36619718309859156,0.4642857142857143,0.4094488188976378,26,45,3085,30
0.5598997995991984,0.36619718309859156,0.4642857142857143,0.4094488188976378,26,45,3085,30
0.5608817635270542,0.35714285714285715,0.44642857142857145,0.3968253968253968,25,45,3085,31
0.5618637274549099,0.35714285714285715,0.44642857142857145,0.3968253968253968,25,45,3085,31
0.5628456913827656,0.35714285714285715,0.44642857142857145,0.3968253968253968,25,45,3085,31
